Usia,Penghasilan,Status_Pekerjaan,Jumlah_Tanggungan,Riwayat_Kredit,Besar_Pinjaman,Jangka_Waktu,Layak
59,16,Wirausaha,1,Lancar,197,10,Layak
50,2,PNS,4,Lancar,171,20,Tidak Layak
28,17,PNS,5,Lancar,248,25,Layak
41,9,Pelajar,4,Lancar,93,25,Layak
30,22,PNS,2,Macet,107,20,Layak
36,20,Wirausaha,4,Lancar,473,5,Layak
52,4,Swasta,1,Lancar,305,5,Tidak Layak
30,3,Wirausaha,4,Lancar,221,20,Tidak Layak
58,4,Pelajar,5,Lancar,445,20,Tidak Layak
27,23,Pelajar,0,Lancar,185,20,Layak
23,16,Wirausaha,2,Lancar,301,5,Tidak Layak
55,13,Wirausaha,5,Lancar,193,25,Layak
38,22,Pelajar,5,Lancar,375,25,Layak
43,14,Pelajar,5,Lancar,213,15,Layak
60,17,Pelajar,5,Lancar,467,25,Tidak Layak
37,1,PNS,4,Lancar,308,20,Tidak Layak
52,4,Pelajar,1,Lancar,138,25,Tidak Layak
55,9,Swasta,0,Lancar,201,5,Tidak Layak
29,13,Tidak Bekerja,2,Lancar,192,15,Layak
33,15,Pelajar,4,Macet,166,25,Layak
26,20,PNS,1,Lancar,428,20,Layak
31,17,Wirausaha,4,Lancar,456,20,Layak
41,8,Swasta,3,Lancar,196,20,Layak
46,17,Swasta,3,Lancar,102,25,Layak
56,3,Swasta,5,Lancar,416,10,Tidak Layak
30,10,Tidak Bekerja,3,Lancar,500,25,Layak
55,17,Swasta,4,Lancar,258,15,Layak
32,22,PNS,2,Lancar,54,20,Layak
51,19,Wirausaha,5,Lancar,157,15,Layak
27,3,Pelajar,3,Lancar,80,5,Tidak Layak
26,8,Swasta,5,Lancar,342,5,Layak
36,8,Swasta,3,Lancar,268,15,Layak
41,10,Wirausaha,5,Lancar,496,10,Layak
53,9,PNS,0,Lancar,186,25,Layak
39,20,Swasta,0,Lancar,189,5,Layak
27,6,Pelajar,4,Macet,491,15,Tidak Layak
41,1,Swasta,2,Lancar,410,5,Tidak Layak
46,23,Pelajar,3,Lancar,244,15,Layak
53,12,Pelajar,1,Lancar,472,15,Tidak Layak
40,24,Pelajar,0,Lancar,122,5,Layak
34,3,Swasta,0,Lancar,429,5,Tidak Layak
24,7,Tidak Bekerja,3,Lancar,208,10,Tidak Layak
57,7,Swasta,4,Lancar,336,5,Tidak Layak
36,4,Tidak Bekerja,2,Lancar,295,5,Tidak Layak
27,18,Swasta,5,Macet,153,20,Layak
38,17,Swasta,1,Lancar,478,20,Layak
24,21,Pelajar,4,Lancar,376,10,Tidak Layak
42,21,Tidak Bekerja,0,Macet,248,25,Tidak Layak
38,13,Wirausaha,2,Lancar,489,15,Layak
33,24,Swasta,2,Lancar,142,20,Layak
29,9,Pelajar,0,Lancar,237,5,Layak
50,3,Pelajar,1,Macet,254,20,Tidak Layak
32,1,Wirausaha,2,Macet,378,10,Tidak Layak
41,21,PNS,3,Lancar,436,25,Layak
56,2,PNS,3,Lancar,61,10,Tidak Layak
58,16,Pelajar,3,Lancar,116,20,Layak
29,9,Swasta,3,Lancar,120,25,Layak
50,18,Swasta,4,Lancar,162,15,Layak
54,7,Pelajar,2,Lancar,359,15,Tidak Layak
32,1,Tidak Bekerja,3,Lancar,386,5,Tidak Layak
49,14,Swasta,0,Lancar,218,10,Layak
53,9,PNS,2,Lancar,237,5,Layak
55,12,Wirausaha,1,Lancar,80,25,Layak
54,23,Wirausaha,0,Lancar,143,20,Layak
23,7,Swasta,4,Lancar,401,5,Tidak Layak
23,6,PNS,2,Lancar,348,20,Layak
25,10,Swasta,0,Lancar,370,20,Layak
47,22,Swasta,5,Lancar,148,15,Layak
49,21,Swasta,0,Lancar,272,25,Layak
46,24,Pelajar,3,Lancar,191,25,Layak
24,13,Swasta,0,Macet,194,15,Tidak Layak
58,1,PNS,3,Lancar,97,20,Tidak Layak
54,4,Swasta,3,Macet,127,10,Tidak Layak
58,22,PNS,1,Macet,301,10,Tidak Layak
34,10,Wirausaha,5,Lancar,413,10,Layak
38,6,Swasta,2,Lancar,241,15,Layak
49,17,Tidak Bekerja,4,Lancar,490,15,Tidak Layak
57,5,Swasta,3,Lancar,68,10,Layak
51,11,PNS,3,Macet,260,25,Layak
59,3,Wirausaha,0,Lancar,381,25,Tidak Layak
48,18,Swasta,4,Lancar,430,15,Layak
25,3,Wirausaha,3,Lancar,123,5,Tidak Layak
45,5,Swasta,0,Lancar,405,15,Layak
46,14,Pelajar,3,Lancar,352,15,Layak
54,13,Wirausaha,2,Lancar,280,20,Layak
47,23,PNS,4,Lancar,257,5,Layak
24,3,Swasta,1,Macet,365,25,Tidak Layak
60,2,Wirausaha,5,Lancar,139,25,Tidak Layak
35,2,Tidak Bekerja,2,Lancar,417,25,Tidak Layak
60,10,Wirausaha,1,Macet,413,20,Tidak Layak
37,4,Tidak Bekerja,5,Lancar,149,5,Tidak Layak
32,20,Wirausaha,1,Macet,326,20,Layak
44,18,Swasta,1,Lancar,407,10,Layak
29,9,PNS,2,Macet,421,5,Layak
48,6,Tidak Bekerja,1,Lancar,116,25,Layak
29,8,Pelajar,5,Lancar,243,20,Layak
25,4,Swasta,3,Lancar,279,5,Tidak Layak
35,17,Pelajar,2,Lancar,500,10,Layak
44,3,Swasta,1,Macet,467,20,Tidak Layak
23,1,PNS,2,Lancar,102,25,Tidak Layak
56,8,Swasta,0,Lancar,135,15,Layak
53,2,PNS,3,Lancar,307,15,Tidak Layak
38,19,Swasta,2,Macet,260,20,Layak
52,18,Pelajar,4,Lancar,381,10,Tidak Layak
23,21,PNS,3,Lancar,371,20,Layak
53,13,Pelajar,1,Macet,68,5,Tidak Layak
31,1,Pelajar,5,Lancar,243,15,Tidak Layak
50,16,Swasta,1,Lancar,135,15,Layak
35,12,Pelajar,0,Macet,286,25,Layak
21,22,Wirausaha,5,Lancar,407,15,Tidak Layak
21,19,Swasta,3,Lancar,131,10,Layak
55,3,Pelajar,2,Lancar,74,10,Tidak Layak
25,18,Wirausaha,3,Lancar,306,20,Layak
42,19,PNS,0,Lancar,52,15,Layak
58,3,Swasta,3,Lancar,279,20,Tidak Layak
56,17,Wirausaha,1,Lancar,441,20,Layak
35,13,Tidak Bekerja,2,Lancar,454,5,Layak
38,7,Swasta,2,Lancar,159,10,Layak
43,7,PNS,1,Lancar,488,15,Layak
46,21,Swasta,3,Lancar,424,5,Layak
26,7,Swasta,5,Lancar,408,15,Layak
49,18,Wirausaha,5,Lancar,468,10,Layak
60,8,Pelajar,2,Lancar,342,20,Tidak Layak
33,14,Swasta,2,Lancar,285,10,Layak
34,17,Wirausaha,2,Lancar,197,20,Layak
31,4,Swasta,3,Lancar,243,10,Tidak Layak
48,1,Swasta,3,Lancar,70,10,Tidak Layak
42,8,Tidak Bekerja,2,Lancar,307,5,Tidak Layak
32,1,PNS,4,Lancar,445,15,Tidak Layak
28,14,Wirausaha,0,Lancar,135,15,Layak
43,20,Wirausaha,3,Lancar,416,5,Layak
58,11,Pelajar,0,Lancar,223,5,Tidak Layak
49,5,PNS,2,Macet,292,25,Layak
20,21,Pelajar,0,Lancar,72,20,Layak
29,2,Pelajar,5,Lancar,299,15,Tidak Layak
57,13,Tidak Bekerja,5,Lancar,212,10,Tidak Layak
34,2,PNS,1,Lancar,288,15,Tidak Layak
28,4,Swasta,2,Lancar,427,15,Tidak Layak
32,5,Tidak Bekerja,2,Lancar,174,20,Layak
42,6,PNS,4,Lancar,117,25,Layak
52,23,Pelajar,2,Lancar,212,15,Layak
28,19,Pelajar,0,Lancar,423,10,Layak
22,3,Swasta,2,Lancar,57,5,Tidak Layak
49,14,Tidak Bekerja,2,Lancar,369,20,Layak
28,16,Pelajar,1,Lancar,68,15,Layak
44,23,Tidak Bekerja,1,Lancar,55,10,Layak
43,16,PNS,0,Macet,52,10,Layak
51,4,Tidak Bekerja,1,Macet,63,15,Tidak Layak
26,8,Pelajar,1,Lancar,376,25,Layak
55,10,PNS,3,Lancar,245,10,Layak
44,10,PNS,4,Macet,371,20,Layak
39,16,Swasta,2,Lancar,313,5,Layak
36,3,Pelajar,5,Lancar,251,5,Tidak Layak
55,1,PNS,1,Lancar,211,15,Tidak Layak
45,8,PNS,4,Lancar,183,5,Layak
38,13,Swasta,0,Lancar,81,10,Layak
56,8,Swasta,5,Lancar,326,10,Tidak Layak
22,21,PNS,5,Lancar,92,10,Layak
47,11,Swasta,4,Lancar,451,25,Layak
41,12,PNS,3,Lancar,366,20,Layak
38,9,Pelajar,5,Lancar,188,10,Layak
35,14,Pelajar,0,Macet,393,25,Tidak Layak
25,24,Swasta,0,Lancar,309,20,Layak
56,19,PNS,2,Lancar,404,25,Layak
50,9,Tidak Bekerja,0,Macet,108,15,Tidak Layak
53,16,Swasta,5,Macet,473,25,Tidak Layak
50,14,PNS,1,Lancar,338,5,Layak
30,3,Swasta,4,Lancar,400,25,Tidak Layak
55,15,Wirausaha,3,Lancar,284,10,Tidak Layak
25,2,Swasta,1,Macet,93,20,Tidak Layak
46,6,Wirausaha,0,Macet,485,25,Tidak Layak
26,7,Pelajar,2,Lancar,146,20,Layak
51,2,PNS,5,Lancar,217,20,Tidak Layak
27,9,PNS,2,Lancar,336,5,Layak
52,9,Swasta,2,Lancar,377,25,Layak
34,9,Pelajar,0,Lancar,135,10,Layak
46,7,Pelajar,5,Lancar,453,20,Layak
49,17,Swasta,5,Lancar,170,10,Layak
41,7,PNS,1,Lancar,415,25,Layak
48,18,Swasta,2,Lancar,152,5,Layak
60,13,PNS,3,Lancar,284,25,Layak
49,19,PNS,2,Lancar,359,25,Layak
21,15,Wirausaha,1,Lancar,414,25,Layak
34,2,PNS,0,Lancar,254,20,Tidak Layak
46,19,Pelajar,4,Lancar,361,25,Layak
26,4,Pelajar,4,Macet,254,10,Tidak Layak
46,1,Wirausaha,2,Lancar,101,10,Tidak Layak
40,11,Swasta,0,Lancar,381,5,Layak
32,21,Swasta,1,Macet,235,10,Layak
36,11,Wirausaha,2,Lancar,437,25,Layak
30,19,PNS,5,Lancar,474,20,Layak
29,7,Pelajar,4,Lancar,367,5,Layak
52,10,Pelajar,2,Macet,157,25,Tidak Layak
33,3,Wirausaha,4,Macet,303,10,Tidak Layak
56,13,Swasta,1,Lancar,303,25,Layak
27,3,PNS,2,Lancar,343,25,Tidak Layak
52,1,Wirausaha,3,Lancar,344,20,Tidak Layak
26,24,Wirausaha,5,Lancar,418,20,Layak
53,11,Swasta,5,Lancar,252,5,Tidak Layak
26,7,Swasta,1,Macet,103,15,Layak
26,21,Pelajar,0,Lancar,357,5,Layak
60,22,Swasta,3,Macet,450,15,Tidak Layak
55,3,Wirausaha,1,Lancar,184,15,Tidak Layak
26,24,Tidak Bekerja,4,Lancar,333,25,Layak
39,23,Swasta,4,Lancar,156,5,Layak
37,1,Pelajar,4,Lancar,234,15,Tidak Layak
60,2,Swasta,0,Lancar,75,5,Tidak Layak
33,21,Pelajar,1,Lancar,349,15,Layak
59,7,Swasta,1,Lancar,390,20,Layak
33,1,PNS,5,Lancar,384,25,Tidak Layak
40,19,Swasta,3,Macet,470,25,Layak
46,4,Swasta,5,Lancar,148,20,Tidak Layak
45,9,Tidak Bekerja,1,Lancar,472,5,Tidak Layak
46,3,Swasta,3,Macet,314,10,Tidak Layak
43,17,PNS,2,Lancar,352,5,Layak
24,19,Swasta,0,Macet,181,25,Tidak Layak
57,5,PNS,5,Lancar,77,15,Layak
47,14,Swasta,0,Lancar,76,25,Layak
51,18,Swasta,5,Lancar,183,20,Layak
43,3,Wirausaha,2,Lancar,311,10,Tidak Layak
25,24,Wirausaha,5,Lancar,499,25,Layak
29,23,Tidak Bekerja,2,Lancar,132,20,Layak
22,20,Pelajar,5,Lancar,475,5,Tidak Layak
26,13,PNS,4,Macet,324,10,Layak
48,23,PNS,4,Macet,316,20,Layak
53,18,Wirausaha,5,Macet,300,25,Tidak Layak
26,5,PNS,4,Lancar,102,20,Layak
36,12,Wirausaha,1,Lancar,336,25,Layak
32,13,Pelajar,1,Lancar,146,5,Layak
40,18,Wirausaha,0,Macet,317,10,Tidak Layak
50,2,Swasta,2,Lancar,210,5,Tidak Layak
28,6,PNS,0,Lancar,317,20,Layak
32,12,Pelajar,2,Lancar,147,20,Layak
36,21,Wirausaha,1,Lancar,451,10,Layak
27,3,Wirausaha,5,Lancar,245,10,Tidak Layak
28,23,PNS,0,Macet,320,10,Layak
28,4,Wirausaha,5,Lancar,175,10,Tidak Layak
59,10,Swasta,4,Lancar,89,20,Layak
49,12,Swasta,0,Lancar,290,5,Layak
26,4,Pelajar,2,Lancar,427,5,Tidak Layak
36,5,Swasta,0,Lancar,473,15,Layak
58,3,PNS,1,Macet,196,5,Tidak Layak
57,3,Swasta,2,Lancar,197,20,Tidak Layak
24,12,Wirausaha,5,Lancar,214,25,Layak
36,18,Pelajar,1,Lancar,197,10,Layak
59,21,Tidak Bekerja,0,Macet,91,20,Tidak Layak
20,20,Swasta,4,Lancar,483,10,Tidak Layak
35,15,Pelajar,1,Macet,157,10,Tidak Layak
36,23,Swasta,5,Lancar,391,10,Layak
49,19,Wirausaha,4,Lancar,211,10,Layak
50,12,Wirausaha,3,Lancar,140,15,Layak
54,6,PNS,0,Lancar,251,15,Layak
27,10,Swasta,0,Lancar,355,20,Layak
49,13,Pelajar,1,Lancar,325,15,Layak
58,18,Swasta,1,Lancar,79,10,Layak
40,8,Swasta,2,Lancar,233,25,Layak
34,8,Wirausaha,1,Lancar,216,15,Layak
53,1,Wirausaha,4,Lancar,53,15,Tidak Layak
46,4,Swasta,1,Lancar,275,20,Tidak Layak
21,17,Wirausaha,4,Lancar,280,20,Layak
29,18,Swasta,3,Macet,145,15,Layak
24,24,Pelajar,1,Macet,274,20,Tidak Layak
46,2,PNS,0,Lancar,369,20,Tidak Layak
23,13,Pelajar,3,Macet,286,5,Tidak Layak
32,5,Tidak Bekerja,3,Lancar,217,25,Layak
36,18,Wirausaha,1,Lancar,350,25,Layak
40,13,Wirausaha,2,Lancar,177,25,Layak
42,20,Pelajar,2,Lancar,254,25,Layak
52,4,Pelajar,0,Lancar,467,10,Tidak Layak
34,2,Pelajar,0,Lancar,178,10,Tidak Layak
33,9,Tidak Bekerja,0,Lancar,448,10,Layak
28,23,PNS,0,Lancar,326,10,Layak
56,4,Swasta,5,Lancar,198,5,Tidak Layak
49,22,Pelajar,4,Lancar,484,10,Tidak Layak
48,4,PNS,2,Lancar,298,25,Tidak Layak
42,2,PNS,0,Lancar,407,15,Tidak Layak
53,2,Pelajar,3,Lancar,192,15,Tidak Layak
26,24,Wirausaha,5,Lancar,475,25,Layak
28,21,Swasta,2,Lancar,68,25,Layak
23,5,Swasta,4,Lancar,284,5,Tidak Layak
21,2,PNS,3,Macet,358,15,Tidak Layak
46,9,Tidak Bekerja,0,Lancar,225,20,Layak
52,3,Wirausaha,4,Lancar,71,15,Tidak Layak
51,3,Pelajar,3,Macet,435,5,Tidak Layak
56,7,Swasta,2,Lancar,135,5,Tidak Layak
46,13,Pelajar,2,Lancar,340,10,Tidak Layak
47,14,Tidak Bekerja,3,Lancar,326,20,Layak
22,17,Swasta,3,Lancar,119,5,Layak
55,8,Tidak Bekerja,0,Lancar,356,20,Tidak Layak
27,2,PNS,1,Lancar,249,10,Tidak Layak
60,16,PNS,2,Lancar,248,5,Layak
56,6,Swasta,0,Lancar,445,20,Layak
57,15,PNS,2,Lancar,165,10,Layak
41,7,PNS,0,Macet,284,10,Tidak Layak
33,19,PNS,1,Lancar,395,10,Layak
34,17,Swasta,2,Lancar,397,15,Layak
23,15,PNS,2,Lancar,215,5,Layak
37,8,Swasta,5,Lancar,92,20,Layak
20,3,PNS,3,Macet,89,25,Tidak Layak
31,19,PNS,3,Lancar,301,5,Layak
60,24,Swasta,4,Lancar,185,5,Tidak Layak
36,4,PNS,5,Lancar,100,10,Tidak Layak
38,23,PNS,3,Lancar,370,5,Layak
55,20,Tidak Bekerja,1,Lancar,321,20,Tidak Layak
26,7,PNS,1,Lancar,438,25,Layak
28,12,Swasta,3,Macet,344,15,Layak
27,21,Tidak Bekerja,4,Lancar,295,25,Layak
44,11,Pelajar,2,Lancar,400,15,Tidak Layak
26,18,Swasta,2,Lancar,435,15,Layak
27,3,PNS,0,Lancar,239,20,Tidak Layak
43,11,Pelajar,0,Macet,483,5,Tidak Layak
36,13,PNS,2,Lancar,169,20,Layak
31,23,Pelajar,0,Lancar,351,20,Layak
50,16,PNS,2,Lancar,349,10,Layak
31,10,PNS,1,Lancar,320,15,Layak
21,20,PNS,0,Lancar,409,5,Layak
31,4,PNS,0,Macet,319,5,Tidak Layak
46,2,Swasta,3,Lancar,432,10,Tidak Layak
26,20,PNS,3,Macet,258,15,Layak
32,21,Pelajar,1,Lancar,370,25,Layak
55,6,Pelajar,3,Lancar,376,15,Tidak Layak
20,11,Swasta,5,Lancar,322,5,Tidak Layak
54,1,Wirausaha,5,Lancar,118,25,Tidak Layak
49,6,Pelajar,2,Lancar,349,20,Layak
50,2,Pelajar,2,Macet,418,5,Tidak Layak
36,16,Wirausaha,5,Lancar,218,20,Layak
27,16,Swasta,0,Lancar,139,25,Layak
22,21,Swasta,5,Macet,128,10,Tidak Layak
29,21,Wirausaha,2,Lancar,358,5,Layak
53,16,Swasta,0,Lancar,143,5,Tidak Layak
41,13,PNS,2,Lancar,236,15,Layak
23,2,Wirausaha,1,Lancar,491,15,Tidak Layak
51,12,Wirausaha,4,Lancar,313,15,Layak
48,9,Wirausaha,2,Lancar,414,10,Layak
30,2,Swasta,0,Lancar,99,10,Tidak Layak
32,3,Swasta,5,Lancar,409,5,Tidak Layak
23,7,PNS,0,Lancar,349,20,Layak
21,22,Swasta,2,Lancar,122,5,Layak
53,14,PNS,2,Lancar,61,25,Layak
41,23,Swasta,1,Macet,82,5,Tidak Layak
24,3,Wirausaha,4,Lancar,239,5,Tidak Layak
28,12,Wirausaha,4,Lancar,293,25,Layak
39,8,PNS,0,Lancar,139,10,Layak
40,7,PNS,2,Macet,106,25,Layak
36,21,PNS,1,Lancar,299,15,Layak
31,4,Wirausaha,0,Macet,432,25,Tidak Layak
47,1,Swasta,0,Lancar,351,15,Tidak Layak
37,9,Swasta,2,Lancar,209,20,Layak
22,1,Swasta,0,Lancar,215,5,Tidak Layak
24,6,Swasta,2,Macet,171,15,Tidak Layak
33,2,Swasta,1,Macet,291,5,Tidak Layak
45,3,Swasta,5,Lancar,156,25,Tidak Layak
38,7,Wirausaha,5,Lancar,193,10,Layak
60,9,Tidak Bekerja,0,Lancar,239,20,Layak
36,17,Swasta,0,Lancar,303,5,Layak
58,6,Wirausaha,0,Lancar,358,25,Layak
23,23,Tidak Bekerja,4,Lancar,481,15,Tidak Layak
54,4,Tidak Bekerja,0,Lancar,421,20,Tidak Layak
43,4,Swasta,3,Lancar,98,25,Tidak Layak
60,10,Tidak Bekerja,0,Lancar,414,15,Tidak Layak
32,22,Swasta,5,Macet,301,10,Tidak Layak
52,13,Swasta,1,Lancar,158,15,Layak
34,3,PNS,0,Lancar,361,5,Tidak Layak
34,22,Wirausaha,4,Lancar,194,25,Layak
50,6,Wirausaha,4,Lancar,203,25,Layak
47,23,Swasta,2,Lancar,144,25,Layak
29,5,Wirausaha,4,Lancar,347,20,Layak
26,18,Swasta,5,Lancar,390,20,Layak
52,7,Pelajar,4,Lancar,189,20,Layak
26,23,Swasta,4,Lancar,225,5,Layak
24,10,Pelajar,2,Lancar,348,5,Tidak Layak
45,1,Pelajar,4,Lancar,233,10,Tidak Layak
35,22,Tidak Bekerja,2,Lancar,192,20,Layak
27,14,Swasta,0,Lancar,283,10,Layak
41,15,Pelajar,4,Lancar,318,15,Layak
53,2,Wirausaha,2,Lancar,141,15,Tidak Layak
59,2,Swasta,0,Lancar,260,15,Tidak Layak
47,4,Wirausaha,5,Lancar,232,25,Tidak Layak
55,21,Swasta,2,Lancar,175,15,Layak
26,24,Pelajar,3,Macet,110,5,Tidak Layak
59,2,Wirausaha,0,Macet,102,25,Tidak Layak
47,20,Pelajar,5,Lancar,76,5,Layak
21,10,Pelajar,2,Lancar,421,15,Tidak Layak
28,21,PNS,1,Lancar,193,25,Layak
25,20,Pelajar,2,Lancar,329,10,Layak
20,6,Pelajar,1,Lancar,168,5,Tidak Layak
22,10,Pelajar,0,Lancar,162,25,Layak
29,6,PNS,2,Lancar,292,15,Layak
56,11,Pelajar,0,Lancar,347,15,Tidak Layak
42,5,PNS,0,Macet,434,20,Layak
52,15,Pelajar,2,Lancar,400,25,Tidak Layak
28,11,Wirausaha,1,Lancar,219,20,Layak
32,19,Swasta,0,Lancar,453,5,Layak
47,15,Swasta,1,Lancar,132,25,Layak
26,10,Pelajar,1,Lancar,298,20,Layak
45,17,Pelajar,3,Lancar,479,10,Tidak Layak
35,17,Tidak Bekerja,2,Lancar,395,25,Layak
59,6,Tidak Bekerja,2,Lancar,351,15,Tidak Layak
45,11,Tidak Bekerja,5,Lancar,372,25,Layak
58,1,Tidak Bekerja,1,Lancar,107,15,Tidak Layak
51,4,Pelajar,2,Lancar,360,10,Tidak Layak
55,7,Pelajar,2,Macet,417,20,Tidak Layak
20,24,Wirausaha,3,Lancar,337,25,Layak
40,8,Pelajar,5,Lancar,261,10,Layak
32,7,Wirausaha,3,Lancar,473,10,Layak
45,2,Wirausaha,3,Macet,452,5,Tidak Layak
28,10,PNS,2,Lancar,56,20,Layak
56,15,Wirausaha,4,Lancar,461,25,Layak
42,23,Wirausaha,0,Lancar,247,20,Layak
20,6,PNS,5,Lancar,326,5,Layak
21,24,PNS,5,Lancar,362,25,Layak
47,3,Pelajar,0,Lancar,394,15,Tidak Layak
55,8,Swasta,5,Macet,456,20,Tidak Layak
50,15,PNS,2,Lancar,177,20,Layak
60,24,PNS,3,Lancar,248,15,Layak
24,9,Swasta,0,Lancar,239,25,Layak
56,23,PNS,0,Lancar,228,5,Layak
44,20,Swasta,3,Lancar,477,20,Layak
27,4,Swasta,3,Lancar,127,10,Tidak Layak
53,5,PNS,4,Lancar,200,25,Layak
58,12,Pelajar,3,Lancar,455,15,Tidak Layak
51,8,PNS,4,Lancar,476,5,Layak
30,10,PNS,2,Lancar,388,15,Layak
44,13,PNS,4,Lancar,135,5,Layak
22,23,PNS,4,Lancar,413,5,Layak
51,5,Tidak Bekerja,4,Lancar,378,25,Tidak Layak
54,3,Swasta,3,Lancar,145,25,Tidak Layak
51,9,Pelajar,2,Lancar,259,5,Tidak Layak
53,11,Wirausaha,3,Lancar,229,5,Tidak Layak
56,21,Wirausaha,2,Lancar,94,5,Layak
24,1,Tidak Bekerja,1,Lancar,470,25,Tidak Layak
47,4,PNS,4,Lancar,223,15,Tidak Layak
47,16,Pelajar,2,Lancar,103,25,Layak
27,2,Tidak Bekerja,4,Lancar,328,25,Tidak Layak
46,14,Swasta,3,Macet,236,10,Tidak Layak
35,9,Swasta,0,Lancar,126,5,Layak
37,7,PNS,2,Lancar,401,10,Layak
44,1,Swasta,2,Lancar,388,25,Tidak Layak
20,23,Pelajar,5,Lancar,427,5,Tidak Layak
27,17,Pelajar,1,Lancar,417,5,Layak
40,7,Pelajar,3,Lancar,143,10,Layak
53,14,Tidak Bekerja,3,Lancar,93,10,Layak
43,8,Swasta,3,Macet,114,15,Layak
56,18,PNS,5,Lancar,250,5,Layak
45,12,Wirausaha,1,Lancar,379,20,Layak
33,23,PNS,1,Lancar,94,15,Layak
48,6,Wirausaha,1,Lancar,304,5,Layak
49,8,Wirausaha,0,Lancar,104,5,Layak
22,20,Pelajar,3,Lancar,86,15,Layak
26,11,Wirausaha,5,Lancar,133,25,Layak
55,17,Tidak Bekerja,5,Macet,241,25,Tidak Layak
30,1,Swasta,2,Macet,167,10,Tidak Layak
51,18,PNS,1,Lancar,78,25,Layak
31,17,Pelajar,5,Lancar,173,5,Layak
34,23,Wirausaha,2,Lancar,212,5,Layak
57,16,PNS,4,Lancar,391,5,Layak
43,5,PNS,1,Lancar,422,5,Layak
20,19,PNS,5,Lancar,318,15,Layak
37,4,Swasta,2,Lancar,447,15,Tidak Layak
26,10,Tidak Bekerja,3,Lancar,343,20,Layak
60,4,Swasta,2,Macet,77,15,Tidak Layak
21,21,PNS,0,Lancar,271,5,Layak
59,18,Tidak Bekerja,1,Macet,216,20,Tidak Layak
50,20,Wirausaha,5,Lancar,173,15,Layak
52,24,Pelajar,5,Lancar,268,25,Layak
49,9,Swasta,4,Lancar,311,10,Layak
50,2,Swasta,1,Lancar,115,20,Tidak Layak
53,7,PNS,2,Macet,205,20,Layak
26,3,Swasta,0,Lancar,379,10,Tidak Layak
44,6,Pelajar,1,Lancar,429,10,Tidak Layak
35,24,PNS,2,Lancar,225,5,Layak
41,9,Swasta,1,Lancar,376,15,Layak
55,1,Wirausaha,3,Lancar,272,5,Tidak Layak
46,7,Pelajar,0,Lancar,202,10,Layak
36,16,PNS,1,Lancar,210,10,Layak
23,15,Swasta,2,Lancar,146,15,Layak
54,22,Pelajar,5,Lancar,461,10,Tidak Layak
60,4,Swasta,4,Macet,152,5,Tidak Layak
41,5,Wirausaha,3,Lancar,75,20,Layak
54,3,Swasta,3,Lancar,277,10,Tidak Layak
34,18,Wirausaha,0,Lancar,404,20,Layak
59,12,PNS,5,Macet,143,25,Layak
40,3,Pelajar,2,Lancar,63,20,Tidak Layak
32,3,Wirausaha,3,Lancar,369,25,Tidak Layak
30,20,Wirausaha,3,Lancar,461,20,Layak
46,10,Wirausaha,2,Lancar,182,20,Layak
50,23,Wirausaha,0,Lancar,314,25,Layak
51,23,Swasta,2,Lancar,459,10,Tidak Layak
49,3,Swasta,1,Lancar,80,25,Tidak Layak
37,2,Swasta,2,Lancar,213,10,Tidak Layak
35,18,Pelajar,0,Lancar,233,20,Layak
54,5,PNS,2,Macet,237,25,Layak
28,16,Swasta,1,Lancar,315,10,Layak
58,9,Wirausaha,2,Lancar,415,25,Layak
56,4,PNS,4,Macet,233,5,Tidak Layak
29,12,Swasta,2,Lancar,439,10,Layak
31,17,Wirausaha,3,Lancar,123,15,Layak
27,21,Wirausaha,0,Lancar,225,5,Layak
22,19,PNS,5,Lancar,190,5,Layak
38,2,Swasta,2,Lancar,71,20,Tidak Layak
30,3,Swasta,3,Lancar,407,5,Tidak Layak
27,9,Swasta,3,Lancar,148,25,Layak
45,5,Swasta,5,Macet,92,20,Layak
42,4,Swasta,4,Lancar,84,10,Tidak Layak
29,10,Tidak Bekerja,3,Lancar,190,10,Layak
37,23,Pelajar,4,Lancar,351,5,Layak
31,8,Wirausaha,5,Macet,357,15,Layak
58,23,Pelajar,1,Lancar,304,25,Layak
45,14,PNS,2,Macet,211,5,Tidak Layak
30,24,Swasta,3,Macet,136,15,Layak
29,14,Tidak Bekerja,5,Lancar,65,25,Layak
22,20,Wirausaha,4,Lancar,267,10,Tidak Layak
26,24,PNS,2,Lancar,70,10,Layak
23,24,Wirausaha,2,Lancar,239,5,Tidak Layak
59,7,PNS,1,Lancar,112,25,Layak
27,17,PNS,4,Macet,322,20,Layak
57,11,Pelajar,2,Macet,319,25,Tidak Layak
32,18,Wirausaha,1,Lancar,255,5,Layak
31,13,Wirausaha,5,Lancar,89,15,Layak
54,4,Swasta,1,Lancar,305,5,Tidak Layak
57,22,PNS,5,Lancar,241,15,Layak
55,5,Swasta,0,Macet,212,15,Tidak Layak
21,7,Tidak Bekerja,4,Lancar,223,15,Layak
34,21,Swasta,5,Lancar,141,20,Layak
53,21,Swasta,4,Lancar,245,25,Layak
58,18,Wirausaha,2,Macet,482,15,Tidak Layak
45,24,Pelajar,0,Lancar,306,5,Tidak Layak
24,23,Tidak Bekerja,2,Lancar,268,5,Tidak Layak
44,7,Pelajar,4,Lancar,294,5,Tidak Layak
